English,French
Boat,Bateaux
Cove,Anse
Plage,Beach
Drinking Water,Eaux
Bread,Pain
One,Un
Two,Deux
Three,Trois
Four,Quatre
Five,Cinq
Six,Six
Seven,Sept
Eight,Huit
Nine,Neuf
Ten,Dix
Zero,Zero
Eleven,Onze
Twelve,Douze
Thirteen,Treize
Fourteen,Quatorze
Fifteen,Quinz
Sixteen,Seize
Seventeen,Dix-Sept
Eighteen,Dix-Huit
Nineteen,Dix-Neuf
Twenty,Vingt
Before,Avante
After,Après
Where is...?,Où est?
Where can I buy?,Où peut-on acheter...?
Is it near?,C'est près d'ici?
Is it on this street?,C'est dans cette rue?
How many meters?,à combien de mètres?
On the left?,à guache?
On the right,à droit?
at the corner?,au coin
Straight ahead?,tout droit?
At what time?,À quelle heure?
When?,Quand?
How long does it take to?,Combien de temps ça prend pour?
I need it by Monday,Il me le faut pour lundi
I have an appointment at,J'ai un rendez-vous à ...
I am going to leave,Je vais partir...
I will come back,Je reviendrai
I don't understand,Je ne comprends pas
Repeat please Rèpètez, s'il vous plaît
More slowly. please , Plus lentement. s'il vous plaît
Write it down. please , Ècrivez-le, s'il vous plaît
One moment. please , Un moment. s'il vous plaît
What is that?,Qu'est-ce que c'est?
How do you say it in French?,Comment dit-on en français?
No. thank you.,Non. merci.
I don't know ,Je ne sais pas
I don't know yet,Je ne sais pas encore
I can't,Je ne peux pas
No.... dessert thank you ,Pas de .... dessert merci
No.... dessert thank you ,Pas de dessert merci
I'm only looking (3 words),Je regarde
I'm only looking (2 words),Je regarde seulement
That's all,C'est tout
Please,S'il vous plaît
Thank you,Merci
You're welcome,Je vous en prie
Excuse me,Pardon
Sorry,Désolé
Is it OK?,C'est bon?
Is it good, C'est bon?
Yes, Oui
it is fine,c'est bien
it is...,C'est
This is,C'est
I am...,Je suis ...
Can you?,Pouvez-vous...?
Can you check?,Pouvez-vous vérifier
Can you repair,Pouvez-vous réparer
Can you get,Pouvez-vous avoir
... of stainless steel,.... en inox
... of aluminum,.... en alu
Do you have ...?,Avez-vous
I am looking for..?,Je cherche...
I would like...,Je voudrais
I need it by Monday,Il me faut
... like this but ..., ... comme ceci, mais... 
How much does it cost?,Combien ça coûte?
is ,se 
his,son
he,il me faut
and,et
this,ce
for,pour
her,sa
than ,que
him,lui
of,du
what,quel
all,tout   
his,ses
was,fut
not,ne 
our,nos
sure,sur
who,qui 
from,chez
friend,ami
near,près
you ,tu
know,sais
kill,tue
a,une
law,loi
death,mort
no,non 
pray,prie
you,vous
this,cet
towards,vers
it is,c'est
that ,qu'il
if,si 
that ,qu'on
